id,deviceid,floorspaceid,occupancystatus,headcount,collecteddate,occupancystatuschangedate,previousoccupancystatus
136043,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-11-24 00:36:52+11,2023-11-24 00:36:52+11,NotOccupied
139485,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-11-24 10:14:32+11,2023-11-24 09:27:52+11,RecentlyOccupied
142379,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-11-24 11:26:32+11,2023-11-24 10:57:12+11,NotOccupied
144886,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-11-24 12:53:32+11,2023-11-24 12:53:32+11,CurrentlyOccupied
147732,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-11-24 14:14:52+11,2023-11-24 14:14:52+11,CurrentlyOccupied
151192,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,NotOccupied,0,2023-11-24 16:08:32+11,2023-11-24 16:08:32+11,RecentlyOccupied
154653,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-11-24 17:59:32+11,2023-11-24 17:59:12+11,RecentlyOccupied
157571,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-11-24 21:37:12+11,2023-11-24 21:37:12+11,NotOccupied
159881,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-11-25 12:07:00+11,2023-11-25 12:07:00+11,CurrentlyOccupied
161192,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,NotOccupied,0,2023-11-25 14:04:40+11,2023-11-25 14:04:40+11,RecentlyOccupied
164401,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-11-25 15:53:40+11,2023-11-25 15:49:20+11,RecentlyOccupied
170008,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-11-25 18:38:20+11,2023-11-25 18:38:20+11,CurrentlyOccupied
173522,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,NotOccupied,0,2023-11-25 22:13:20+11,2023-11-25 22:13:20+11,RecentlyOccupied
